what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1369278483273
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1369278483274
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1369278483275
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1369278483276
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1369278483278
started,bundle,org.eclipse.wst.common.core,1.2.0.v200908252030,"org.eclipse.wst.common.core",1369278483278
started,bundle,org.eclipse.wst.common.emf,1.2.100.v201101101900,"org.eclipse.wst.common.emf",1369278483279
started,bundle,org.eclipse.wst.common.emfworkbench.integration,1.2.101.v201107140600,"org.eclipse.wst.common.emfworkbench.integration",1369278483280
started,bundle,org.eclipse.wst.common.frameworks,1.2.102.v201201190400,"org.eclipse.wst.common.frameworks",1369278483281
started,bundle,org.eclipse.wst.common.frameworks.ui,1.2.100.v201105122000,"org.eclipse.wst.common.frameworks.ui",1369278483281
started,bundle,org.eclipse.wst.common.modulecore,1.2.103.v201201190400,"org.eclipse.wst.common.modulecore",1369278483282
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.201.v201201101553,"org.eclipse.wst.common.project.facet.core",1369278483283
started,bundle,org.eclipse.wst.common.ui,1.1.500.v200911190730,"org.eclipse.wst.common.ui",1369278483284
started,bundle,org.eclipse.wst.jsdt.core,1.1.102.v201111090634,"org.eclipse.wst.jsdt.core",1369278483286
started,bundle,org.eclipse.wst.jsdt.manipulation,1.0.300.v201104272153,"org.eclipse.wst.jsdt.manipulation",1369278483287
started,bundle,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui",1369278483289
started,bundle,org.eclipse.wst.validation,1.2.303.v201202090300,"org.eclipse.wst.validation",1369278483290
started,bundle,org.eclipse.wst.web,1.1.501.v201201190400,"org.eclipse.wst.web",1369278483291
started,bundle,org.eclipse.wst.xml.core,1.1.602.v201201091944,"org.eclipse.wst.xml.core",1369278483292
os,sysinfo,,,"win32",1369278483296
arch,sysinfo,,,"x86",1369278483296
ws,sysinfo,,,"win32",1369278483296
locale,sysinfo,,,"en_US",1369278483296
processors,sysinfo,,,"2",1369278483296
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1369278483296
java.runtime.version,sysinfo,,,"1.7.0_21-b11",1369278483296
java.specification.name,sysinfo,,,"Java Platform API Specification",1369278483296
java.specification.vendor,sysinfo,,,"Oracle Corporation",1369278483296
java.specification.version,sysinfo,,,"1.7",1369278483296
java.vendor,sysinfo,,,"Oracle Corporation",1369278483296
java.version,sysinfo,,,"1.7.0_21",1369278483296
java.vm.info,sysinfo,,,"mixed mode, sharing",1369278483296
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1369278483296
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1369278483296
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1369278483296
java.vm.specification.version,sysinfo,,,"1.7",1369278483296
java.vm.vendor,sysinfo,,,"Oracle Corporation",1369278483296
java.vm.version,sysinfo,,,"23.21-b01",1369278483296
started,bundle,org.eclipse.jst.servlet.ui,1.1.502.v201202011054,"org.eclipse.jst.servlet.ui",1369278483338
started,bundle,org.eclipse.wst.dtd.core,1.1.501.v201107252021,"org.eclipse.wst.dtd.core",1369278483585
started,bundle,org.eclipse.wst.sse.ui,1.3.2.v201201041522,"org.eclipse.wst.sse.ui",1369278483585
started,bundle,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.ui",1369278483585
started,bundle,org.eclipse.wst.sse.core,1.1.602.v201112071516,"org.eclipse.wst.sse.core",1369278483605
started,bundle,org.eclipse.jst.jsf.common,1.2.3.v201104061039,"org.eclipse.jst.jsf.common",1369278483615
started,bundle,org.eclipse.jst.jsf.core,1.3.105.v201108261005,"org.eclipse.jst.jsf.core",1369278483615
started,bundle,org.eclipse.jst.jsp.core,1.2.402.v201112071853,"org.eclipse.jst.jsp.core",1369278483645
started,bundle,org.eclipse.wst.wsdl.validation,1.1.502.v201104071820,"org.eclipse.wst.wsdl.validation",1369278483685
started,bundle,org.eclipse.wst.xsd.core,1.1.600.v201104070312,"org.eclipse.wst.xsd.core",1369278483695
started,bundle,org.eclipse.wst.xsl.core,1.1.100.v201102270516,"org.eclipse.wst.xsl.core",1369278483705
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1369278486279
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.findReplace",1369278486323
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1369278491691
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1369278494811
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1369278496471
activated,view,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views.ContentOutline",1369278496501
activated,view,org.eclipse.search,3.7.0.v20110928-1504,"org.eclipse.search.ui.views.SearchView",1369278497363
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1369278498035
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1369278499337
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1369278500127
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1369278515961
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1369278519687
started,bundle,org.eclipse.mylyn.java.tasks,3.6.0.v20110608-1400,"org.eclipse.mylyn.java.tasks",1369278520449
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1369278520551
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1369278523385
started,bundle,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui",1369278523435
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1369278523615
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1369278524127
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.findReplace",1369278524159
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1369278530745
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1369278531235
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1369278532689
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1369278536939
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1369278558579
started,bundle,org.eclipse.pde.launching,3.6.0.v20110506,"org.eclipse.pde.launching",1369278567921
started,bundle,org.eclipse.ui.views.log,1.0.200.v20110404,"org.eclipse.ui.views.log",1369278567931
started,bundle,org.eclipse.pde.ui,3.6.100.v20120103_r372,"org.eclipse.pde.ui",1369278567931
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1369278576671
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1369278578041
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1369278580673
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1369278581989
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1369278593569
started,bundle,org.eclipse.wst.server.core,1.1.304.v20120208_1420,"org.eclipse.wst.server.core",1369278595771
started,bundle,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui",1369278595801
started,bundle,org.eclipse.jst.jee,1.0.402.v201202021530,"org.eclipse.jst.jee",1369278595883
started,bundle,org.eclipse.jst.server.core,1.2.202.v20110419,"org.eclipse.jst.server.core",1369278595893
opened,view,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui.ServersView",1369278595923
started,bundle,org.eclipse.jst.server.tomcat.core,1.1.301.v20111010_1242,"org.eclipse.jst.server.tomcat.core",1369278595943
activated,view,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui.ServersView",1369278595953
executed,command,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.run",1369278598655
started,bundle,org.eclipse.jst.server.tomcat.ui,1.1.200.v20100418,"org.eclipse.jst.server.tomcat.ui",1369278598737
opened,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1369278599960
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1369278599984
activated,view,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui.ServersView",1369278602184
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1369278606204
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1369278617375
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1369278617375
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1369278706986
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1369278707968
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1369278708288
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1369278732134
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1369278740194
